1606637378.710394,0
1606637378.815015,43
1606637378.922048,79
1606637379.038229,99
1606637379.152633,98
1606637379.258567,100
1606637379.364800,99
1606637379.471626,100
1606637379.575825,98
1606637379.688490,100
1606637379.797202,82
1606637379.906837,76
1606637380.025777,73
1606637380.130391,94
1606637380.236505,99
1606637380.342712,80
1606637380.446877,56
1606637380.550615,55
1606637380.654779,50
1606637380.758726,51
1606637380.870064,53
1606637380.975678,53
1606637381.080610,53
1606637381.186175,53
1606637381.290806,54
1606637381.396387,53
1606637381.501527,53
1606637381.607146,52
1606637381.712719,53
1606637381.816499,54
1606637381.921721,55
1606637382.024507,54
1606637382.128379,54
1606637382.232802,53
1606637382.341910,55
1606637382.446401,54
1606637382.557678,54
1606637382.661920,55
1606637382.766915,54
1606637382.870308,55
1606637382.974452,56
1606637383.078539,56
1606637383.182061,56
1606637383.288074,67
1606637383.393297,68
1606637383.498104,68
1606637383.603577,78
1606637383.710453,78
1606637383.815074,85
1606637383.920275,86
1606637384.025923,58
1606637384.133053,58
1606637384.244146,59
1606637384.356648,58
1606637384.467683,58
1606637384.589360,58
1606637384.693705,58
1606637384.801383,58
1606637384.949148,59
1606637385.066750,59
1606637385.179751,57
1606637385.289539,59
1606637385.393767,58
1606637385.499034,60
1606637385.603907,61
1606637385.708804,61
1606637385.812486,60
1606637385.927845,60
1606637386.033433,63
1606637386.138787,62
1606637386.243495,68
1606637386.349122,68
1606637386.453747,72
1606637386.558995,82
1606637386.673751,82
1606637386.777501,90
1606637386.882117,90
1606637386.993152,63
1606637387.097229,64
1606637387.202428,63
1606637387.307723,62
1606637387.423354,63
1606637387.528953,63
1606637387.636043,62
1606637387.741695,62
1606637387.847324,63
1606637387.965352,63
1606637388.070625,63
1606637388.186622,64
1606637388.299839,65
1606637388.412636,64
1606637388.520163,64
1606637388.625254,64
1606637388.731740,63
1606637388.836887,66
1606637388.942513,64
1606637389.050471,66
1606637389.156084,72
1606637389.261635,72
1606637389.369587,72
1606637389.478145,72
1606637389.589281,78
1606637389.702023,90
1606637389.806974,91
1606637389.912018,88
1606637390.022631,83
1606637390.129504,77
1606637390.253257,67
1606637390.362050,67
1606637390.470387,67
1606637390.585758,66
1606637390.704263,66
1606637390.812043,68
1606637390.917702,67
1606637391.034443,68
1606637391.141966,68
1606637391.249003,68
1606637391.356075,68
1606637391.461463,68
1606637391.565903,68
1606637391.670973,68
1606637391.775441,69
1606637391.880132,69
1606637391.986489,68
1606637392.092038,69
1606637392.200692,70
1606637392.312514,69
1606637392.433974,79
1606637392.541588,78
1606637392.648964,82
1606637392.759365,85
1606637392.864248,87
1606637392.969837,99
1606637393.076392,99
1606637393.182561,88
1606637393.288848,73
1606637393.393242,73
1606637393.499649,72
1606637393.604463,65
1606637393.710153,37
1606637393.815587,37
1606637393.935650,36
